,工件号,工序号,机器编号,起始时间,结束时间,加工时间,等待时间,运输时间
0,0.0,1.0,5.0,0.0,80.0,80.0,0.0,5.0
1,0.0,2.0,6.0,101.0,172.0,71.0,15.0,5.0
2,0.0,3.0,12.0,178.0,272.0,94.0,0.0,0.0
3,1.0,1.0,6.0,0.0,101.0,71.0,30.0,15.0
4,1.0,2.0,9.0,117.0,179.0,62.0,0.0,5.0
5,1.0,3.0,15.0,185.0,249.0,64.0,0.0,0.0
6,2.0,1.0,16.0,0.0,59.0,59.0,0.0,15.0
7,2.0,2.0,20.0,75.0,111.0,36.0,0.0,0.0
8,3.0,1.0,17.0,0.0,51.0,51.0,0.0,20.0
9,3.0,2.0,21.0,72.0,191.0,119.0,0.0,0.0
10,4.0,1.0,2.0,0.0,65.0,65.0,0.0,10.0
11,4.0,2.0,4.0,76.0,151.0,75.0,0.0,10.0
12,4.0,3.0,16.0,162.0,221.0,59.0,0.0,0.0
13,5.0,1.0,0.0,103.0,206.0,103.0,103.0,20.0
14,5.0,2.0,4.0,227.0,302.0,75.0,0.0,0.0
15,6.0,1.0,3.0,85.0,140.0,55.0,70.0,10.0
16,6.0,2.0,10.0,151.0,228.0,77.0,0.0,20.0
17,6.0,3.0,20.0,249.0,285.0,36.0,0.0,0.0
18,7.0,1.0,0.0,206.0,309.0,103.0,206.0,20.0
19,7.0,2.0,4.0,330.0,405.0,75.0,0.0,25.0
20,7.0,3.0,6.0,431.0,502.0,71.0,0.0,0.0
21,8.0,1.0,0.0,0.0,103.0,103.0,0.0,10.0
22,8.0,2.0,5.0,114.0,224.0,80.0,30.0,0.0
23,9.0,1.0,3.0,0.0,85.0,55.0,30.0,15.0
24,9.0,2.0,7.0,101.0,187.0,86.0,0.0,0.0
25,10.0,1.0,28.0,0.0,123.0,123.0,0.0,20.0
26,10.0,2.0,19.0,144.0,195.0,51.0,0.0,15.0
27,10.0,3.0,22.0,300.0,424.0,124.0,89.0,0.0
28,11.0,1.0,25.0,0.0,98.0,98.0,0.0,10.0
29,11.0,2.0,18.0,109.0,155.0,46.0,0.0,20.0
30,11.0,3.0,22.0,176.0,300.0,124.0,0.0,0.0
31,12.0,1.0,3.0,140.0,195.0,55.0,126.0,20.0
32,12.0,2.0,6.0,243.0,314.0,71.0,27.0,15.0
33,12.0,3.0,9.0,330.0,392.0,62.0,0.0,0.0
34,13.0,1.0,10.0,0.0,77.0,77.0,0.0,5.0
35,13.0,2.0,16.0,83.0,142.0,59.0,0.0,0.0
36,14.0,1.0,6.0,172.0,243.0,71.0,157.0,15.0
37,14.0,2.0,9.0,259.0,321.0,62.0,0.0,5.0
38,14.0,3.0,15.0,327.0,391.0,64.0,0.0,0.0
